symbol,start,end,reason_in,start_known
LDOS,2019-08-09,,S&P 500 & 100 constituent Occidental Petroleum Corp. (NYSE:OXY) acquired Anadarko Petroleum.[91],True
LDW,1976-07-01,1999-12-08,pre-changelog,False
LEG,1976-07-01,2021-12-20,pre-changelog,False
LEH,1976-07-01,2008-09-16,pre-changelog,False
LEN,1976-07-01,,pre-changelog,False
LH,1976-07-01,,pre-changelog,False
LHX,1976-07-01,,pre-changelog,False
LIFE,1976-07-01,2014-01-24,pre-changelog,False
LII,2024-12-23,,Novo Holdings A/S acquired Catalent.[27],True
LIN,1976-07-01,,pre-changelog,False
LITE,2026-03-23,,Market capitalization change.[12],True
LKQ,2016-05-23,2025-12-22,ARG acquired by Air Liquide[149],True
LLL,1976-07-01,2019-07-01,pre-changelog,False
LLTC,1976-07-01,2017-03-13,pre-changelog,False
LLY,1976-07-01,,pre-changelog,False
LM,1976-07-01,2016-12-02,pre-changelog,False
LMT,1976-07-01,,pre-changelog,False
LNC,1976-07-01,2023-09-18,pre-changelog,False
LNT,2016-07-01,,GAS acquired by SO[145],True
LO,2008-06-10,2015-06-11,Market Value Decline[266],True
LOW,1976-07-01,,pre-changelog,False
LRCX,2012-06-05,,Acquired by Lam Research (LRCX)[225],True
LSI,1976-07-01,2014-05-08,pre-changelog,False
LULU,2023-10-18,,S&P 500 and S&P 100 constituent Microsoft acquired Activision Blizzard.[38],True
LUMN,1976-07-01,2023-03-20,pre-changelog,False
LUV,1976-07-01,,pre-changelog,False
LVLT,2014-11-05,2017-10-13,Market cap changes[187],True
LVS,2019-10-03,,Market capitalization change.[88],True
LW,2018-12-03,2026-03-23,UTX acquired COL[104],True
LXK,1976-07-01,2012-10-01,pre-changelog,False
LYB,2012-09-05,,SHLD below public float threshold,True
LYV,2019-12-23,,Market capitalization change.[84],True
M,1976-07-01,2020-04-06,pre-changelog,False
MA,1976-07-01,,pre-changelog,False
MAA,2016-12-02,,Market capitalization change.[139],True
MAC,2013-05-08,2019-12-23,Acquired by Aetna (AET)[212],True
MAR,1976-07-01,,pre-changelog,False
MAS,1976-07-01,,pre-changelog,False
MAT,1976-07-01,2019-06-07,pre-changelog,False
MBC,2022-12-15,2022-12-19,S&P 500 constituent Fortune Brands Home & Security spun off MasterBrand.[49],True
MBI,1976-07-01,2009-12-18,pre-changelog,False
MCD,1976-07-01,,pre-changelog,False
MCHP,1976-07-01,,pre-changelog,False
MCK,1994-09-30,,re-entry,True
MCK,1976-07-01,1994-09-30,pre-changelog,False
MCO,1976-07-01,,pre-changelog,False
MDLZ,2012-10-02,,Old Kraft Foods renamed Mondelez[221],True
MDP,1976-07-01,2011-01-03,pre-changelog,False
MDT,1976-07-01,,pre-changelog,False
MEE,2008-06-23,2011-06-01,Market capitalization change.[265],True
MET,1976-07-01,,pre-changelog,False
META,1976-07-01,,pre-changelog,False
MFE,1976-07-01,2011-02-28,pre-changelog,False
MGM,2017-07-26,,British American Tobacco (NYSE MKT:BTI) acquired Reynolds American.[126],True
MHK,2013-12-23,2025-12-22,Market capitalization changes.[200],True
MHS,1976-07-01,2012-04-03,pre-changelog,False
MI,1976-07-01,2011-07-05,pre-changelog,False
MIL,1976-07-01,2010-07-14,pre-changelog,False
MJN,2009-12-18,2017-06-19,Market capitalization change.[citation needed],True
MKC,1976-07-01,,pre-changelog,False
MKTX,2019-07-01,2025-09-22,L3 purchased by Harris Corporation[93],True
MLM,2014-07-02,,Market capitalization changes[191],True
MMI,2011-01-03,2012-05-21,S&P constituent Motorola spun off Motorola Mobility.[247],True
MMM,1976-07-01,,pre-changelog,False
MNK,2014-08-18,2017-07-26,Market cap changes[189],True
MNST,2012-06-29,,Split up of Sara Lee[224],True
MO,1976-07-01,,pre-changelog,False
MOH,2022-03-02,2026-03-23,S&P 500 constituent S&P Global Inc. acquired IHS Markit.[57],True
MOLX,1976-07-01,2013-12-10,pre-changelog,False
MON,1976-07-01,2018-06-07,pre-changelog,False
MOS,2011-09-23,,Acquired by Texas Instruments (TXN).[238],True
MPC,2011-06-30,,Market capitalization adjustments.[240],True
MPWR,2021-02-12,,TechnipFMC was removed from the S&P 500 in anticipation of its announced spin-off of Technip Energies.[69],True
MRK,1976-07-01,,pre-changelog,False
MRNA,2021-07-21,,AstraZeneca acquired Alexion Pharmaceuticals.[65],True
MRO,1976-07-01,2024-11-26,pre-changelog,False
MRSH,1976-07-01,,pre-changelog,False
MRVL,2026-06-22,,Market capitalization change.[7],True
MS,1976-07-01,,pre-changelog,False
MSCI,2018-04-04,,S&P 500 constituent General Dynamics (NYSE: GD) acquired CSRA.[117],True
MSFT,1976-07-01,,pre-changelog,False
MSI,1976-07-01,,pre-changelog,False
MTB,1976-07-01,,pre-changelog,False
MTCH,2021-09-20,2026-03-23,Market capitalization change.[63],True
MTD,2016-09-06,,TYC acquires JCI (and retains JCI ticker).[143],True
MU,1976-07-01,,pre-changelog,False
MUR,1976-07-01,2017-07-26,pre-changelog,False
MWW,1976-07-01,2011-12-16,pre-changelog,False
MXIM,2018-12-03,2021-08-30,CVS acquired Aetna[104],True
MXIM,1976-07-01,2007-09-27,pre-changelog,False
NAVI,2014-05-01,2018-06-05,Navient Spun off from SLM[195],True
NBL,1976-07-01,2020-10-12,pre-changelog,False
NBR,1976-07-01,2015-03-23,pre-changelog,False
NCLH,2017-10-13,,CenturyLink acquired LVLT.[122],True
NCR,1976-07-01,2007-10-01,pre-changelog,False
NDAQ,1976-07-01,,pre-changelog,False
NDSN,2022-02-15,,S&P 500 constituent Advanced Micro Devices acquired Xilinx.[58],True
NE,1976-07-01,2015-07-20,pre-changelog,False
NEE,1976-07-01,,pre-changelog,False
NEM,1976-07-01,,pre-changelog,False
NFLX,2010-12-17,,Market Cap changes.,True
NFX,2010-12-17,2019-02-15,Market Cap changes.,True
NI,1976-07-01,,pre-changelog,False
NKE,1976-07-01,,pre-changelog,False
NKTR,2018-03-19,2019-10-03,Market capitalization change.[118],True
NLSN,2013-07-08,2022-10-12,Softbank consortium purchase results in public float below 50%[207],True
NOC,1976-07-01,,pre-changelog,False
NOV,1976-07-01,2021-09-20,pre-changelog,False
NOVL,1976-07-01,2011-04-27,pre-changelog,False
NOW,2019-11-21,,Bristol-Myers Squibb (NYSE:BMY) acquired Celgene.[87],True
NRG,1976-07-01,,pre-changelog,False
NSC,1976-07-01,,pre-changelog,False
NSM,1976-07-01,2011-09-23,pre-changelog,False
NTAP,1976-07-01,,pre-changelog,False
NTRS,1976-07-01,,pre-changelog,False
NUE,1976-07-01,,pre-changelog,False
NVDA,1976-07-01,,pre-changelog,False
NVLS,1976-07-01,2012-06-05,pre-changelog,False
NVR,2019-09-26,,,True
NWL,1976-07-01,2023-09-18,pre-changelog,False
NWS,2015-09-18,,Share class methodology change,True
NWSA,2013-07-01,,Apollo Group's market cap more representative of a mid-cap[208],True
NXPI,2021-03-22,,Market capitalization change.[68],True
NYT,1976-07-01,2010-12-17,pre-changelog,False
NYX,1976-07-01,2013-11-13,pre-changelog,False
O,2015-04-07,,Market capitalization change.[180],True
ODFL,2019-12-09,,BB&T acquired SunTrust to form Truist Financial.[85],True
ODP,1976-07-01,2010-12-17,pre-changelog,False
OGN,2021-06-03,2023-10-18,S&P 500/100 constituent Merck & Co. spun off Organon.[59],True
OI,2008-12-31,2016-12-02,Wachovia Bank acquired by Wells Fargo.[261],True
OI,1976-07-01,2000-12-05,pre-changelog,False
OKE,1976-07-01,,pre-changelog,False
OMC,1976-07-01,,pre-changelog,False
OMX,1976-07-01,2008-06-23,pre-changelog,False
ON,2022-06-21,,Market capitalization change.[54],True
ORCL,1976-07-01,,pre-changelog,False
ORLY,1976-07-01,,pre-changelog,False
OTIS,2020-04-03,,United Technologies spun off Otis and Carrier and acquired Raytheon Company.[79],True
OXY,1976-07-01,,pre-changelog,False
PANW,2023-06-20,,Market capitalization change.[42],True
PAYC,2020-01-28,2026-03-23,S&P 500 constituent Centene Corp. (NYSE: CNC) acquired Wellcare Health Plans.[83],True
PAYX,1976-07-01,,pre-changelog,False
PBCT,1976-07-01,2022-04-04,pre-changelog,False
PBI,1976-07-01,2017-03-01,pre-changelog,False
PCAR,1976-07-01,,pre-changelog,False
PCG,2022-10-03,,Vista Equity Partners acquired Citrix Systems.[52],True
PCG,1976-07-01,2019-01-18,pre-changelog,False
PCL,1976-07-01,2016-02-22,pre-changelog,False
PCP,1976-07-01,2016-02-01,pre-changelog,False
PCS,2009-06-29,2013-04-30,PCS replaced TEL.[258],True
PDCO,1976-07-01,2018-03-19,pre-changelog,False
PEG,1976-07-01,,pre-changelog,False
PENN,2021-03-22,2022-09-19,Market capitalization change.[68],True
PEP,1976-07-01,,pre-changelog,False
PETM,2012-10-10,2015-03-12,Acquired by Energy Transfer Partners (ETP)[219],True
PFE,1976-07-01,,pre-changelog,False
PFG,1976-07-01,,pre-changelog,False
PG,1976-07-01,,pre-changelog,False
PGN,1976-07-01,2012-07-02,pre-changelog,False
PGR,1976-07-01,,pre-changelog,False
PH,1976-07-01,,pre-changelog,False
PHM,1976-07-01,,pre-changelog,False
PKG,2017-07-26,,Market capitalization change.[126],True
PLD,1976-07-01,,pre-changelog,False
PLL,1976-07-01,2015-08-28,pre-changelog,False
PLTR,2024-09-23,,Market capitalization change.[30],True
PM,1976-07-01,,pre-changelog,False
PNC,1976-07-01,,pre-changelog,False
PNR,2012-10-01,,Tyco spin-off merged w/Pentair,True
PNW,1976-07-01,,pre-changelog,False
PODD,2023-03-15,,"The FDIC placed SVB's main subsidiary, Silicon Valley Bank, into receivership.[46]",True
POM,1976-07-01,2016-03-30,pre-changelog,False
POOL,2020-10-07,2026-06-22,Morgan Stanley acquired E*Trade.[74],True
PPG,1976-07-01,,pre-changelog,False
PPL,1976-07-01,,pre-changelog,False
PRGO,2011-12-16,2021-09-20,Market capitalization changes,True
PRU,1976-07-01,,pre-changelog,False
PSA,1976-07-01,,pre-changelog,False
PSKY,1976-07-01,,pre-changelog,False
PSX,2012-04-23,,ConocoPhillips spun off Phillips 66[228],True
PTC,2021-04-20,,Siemens Healthineers acquired Varian Medical Systems.[67],True
PTV,1976-07-01,2010-11-17,pre-changelog,False
PVH,2013-02-15,2022-09-19,Market capitalization changes[214],True
PWR,1976-07-01,,pre-changelog,False
PXD,1976-07-01,2024-05-08,pre-changelog,False
PYPL,2015-07-20,,PayPal Spun off by eBay[173],True
Q,2017-08-29,2017-11-15,Amazon acquired Whole Foods Market.[124],True
Q,2025-11-03,,"S&P 500 constituent Dupont de Nemours, Inc. spun off Qnity Electronics.[18]",True
Q,1976-07-01,2011-03-31,pre-changelog,False
QCOM,1976-07-01,,pre-changelog,False
QEP,2010-06-30,2015-07-01,"Company split. QEP retained, but ticker changed.[252]",True
QRVO,2015-06-11,2024-12-23,Lorillard gets acquired.[179],True
QTRN,1976-07-01,2003-09-25,pre-changelog,False
R,1976-07-01,2017-06-19,pre-changelog,False
RAD,1976-07-01,2000-07-27,pre-changelog,False
RAI,1976-07-01,2017-07-26,pre-changelog,False
RCL,2014-12-05,,Market cap changes[186],True
RDC,1976-07-01,2014-08-18,pre-changelog,False
RE,2017-06-19,2023-07-10,Reckitt Benckiser acquired Mead Johnson Nutrition.[129],True
REG,2017-03-02,,REG acquires EQY[137],True
REGN,2013-04-30,,A majority of MetroPCS was acquired by T-Mobile[213],True
RF,1976-07-01,,pre-changelog,False
RHI,1976-07-01,2024-06-24,pre-changelog,False
RHT,1976-07-01,2019-07-15,pre-changelog,False
RIG,2013-10-29,2017-07-26,Founder Michael Dell and Silver Lake Partners acquired Dell.[204],True
RJF,2017-03-20,,Market capitalization change.[134],True
RL,1976-07-01,,pre-changelog,False
RMD,2017-07-26,,Market capitalization change.[126],True
ROK,1976-07-01,,pre-changelog,False
ROL,2018-10-01,,ANDV acquired by Marathon Petroleum.[108],True
ROP,1976-07-01,,pre-changelog,False
ROST,2009-12-18,,Market capitalization change.[citation needed],True
RRC,2007-12-20,2018-06-18,Taken private[267],True
RRD,1976-07-01,2012-12-11,pre-changelog,False
RSG,1976-07-01,,pre-changelog,False
RSH,1976-07-01,2011-06-30,pre-changelog,False
RTN,1976-07-01,2020-04-06,pre-changelog,False
RTX,1976-07-01,,pre-changelog,False
RVTY,1976-07-01,,pre-changelog,False
RX,1976-07-01,2010-02-26,pre-changelog,False
S,1976-07-01,2013-07-08,pre-changelog,False
SAI,2009-12-18,2013-09-20,Market capitalization change.[citation needed],True
SBAC,2017-09-01,,The Dow Chemical Company acquired DuPont.[124],True
SBL,2000-12-05,2007-01-10,Market Cap changes.,True
SBNY,2021-12-20,2023-03-15,Market capitalization change.[60],True
SBUX,2000-06-07,,Siemens AG acquired Shared Medical Systems.[278],True
SCG,1976-07-01,2019-01-02,pre-changelog,False
SCHW,1976-07-01,,pre-changelog,False
SE,1976-07-01,2017-02-28,pre-changelog,False
SEDG,2021-12-20,2023-12-18,Market capitalization change.[60],True
SEE,1976-07-01,2023-12-18,pre-changelog,False
SGP,1976-07-01,2009-11-03,pre-changelog,False
SHLD,1976-07-01,2012-09-05,pre-changelog,False
SHW,1976-07-01,,pre-changelog,False
SIAL,1976-07-01,2015-11-19,pre-changelog,False
SIG,2015-07-29,2018-03-19,DirecTV acquired by AT&T.[172],True
SII,1976-07-01,2010-08-26,pre-changelog,False
SIVB,2018-03-19,2023-03-15,Market capitalization change.[118],True
SJM,1976-07-01,,pre-changelog,False
SLB,1976-07-01,,pre-changelog,False
SLE,1976-07-01,2012-06-29,pre-changelog,False
SLG,2015-03-23,2021-03-22,Market Capitalization Changes.,True
SLM,1976-07-01,2014-05-01,pre-changelog,False
SLR,1976-07-01,2007-10-02,pre-changelog,False
SMCI,2024-03-18,,Market capitalization change.[35],True
SMS,1976-07-01,2000-06-07,pre-changelog,False
SNA,1976-07-01,,pre-changelog,False
SNDK,2025-11-28,,S&P 500 constituent Omnicom Group Inc. acquired (The) Interpublic Group.[16][17],True
SNDK,1976-07-01,2016-05-13,pre-changelog,False
SNI,1976-07-01,2018-03-07,pre-changelog,False
SNPS,2017-03-16,,Samsung Electronics acquired Harman International Industries.[135],True
SO,1976-07-01,,pre-changelog,False
SOLS,2025-10-30,2025-12-22,S&P 500 and S&P 100 constituent Honeywell International Inc. spun off Solstice Advanced Materials.[18],True
SOLV,2024-04-01,,S&P 500 and 100 constituent 3M Co. spun off Solventum.[33],True
SPG,1976-07-01,,pre-changelog,False
SPGI,1976-07-01,,pre-changelog,False
SPLS,1976-07-01,2017-09-18,pre-changelog,False
SRCL,1976-07-01,2018-12-03,pre-changelog,False
SRE,1976-07-01,,pre-changelog,False
STE,2019-12-23,,Market capitalization change.[84],True
STI,1976-07-01,2019-12-09,pre-changelog,False
STJ,1976-07-01,2017-01-05,pre-changelog,False
STLD,2022-12-22,,S&P 500 constituent Johnson & Johnson acquired Abiomed.[48],True
STR,1976-07-01,2010-06-30,pre-changelog,False
STT,1976-07-01,,pre-changelog,False
STX,2012-07-02,,Acquired by Duke Energy (DUK)[223],True
STZ,2005-07-01,,Acquired by Crompton Corp.,True
SUN,1998-12-11,2012-10-10,re-entry,True
SUN,1976-07-01,1998-12-11,pre-changelog,False
SVU,1976-07-01,2012-04-23,pre-changelog,False
SW,1976-07-01,,pre-changelog,False
SWK,1976-07-01,,pre-changelog,False
SWKS,2015-03-12,,PetSmart acquired by private equity consortium[183],True
SWN,1976-07-01,2017-04-04,pre-changelog,False
SWY,1976-07-01,2015-01-27,pre-changelog,False
SYF,2015-11-18,,GE spinning off Synchrony Financial[168],True
SYK,1976-07-01,,pre-changelog,False
SYY,1976-07-01,,pre-changelog,False
T,2005-11-18,,re-entry,True
T,1976-07-01,2005-11-18,pre-changelog,False
TAP,1976-07-01,,pre-changelog,False
TDC,2007-10-01,2017-06-19,Teradata spun off by NCR Corporation.[269],True
TDG,2016-06-03,,SHPG acquiring BXLT[147],True
TDY,2020-06-22,,Market capitalization change.[76],True
TE,1976-07-01,2016-07-01,pre-changelog,False
TECH,2021-08-30,,S&P 500 constituent Analog Devices acquired Maxim Integrated Products.[64],True
TEG,1976-07-01,2015-07-01,pre-changelog,False
TEL,2011-10-14,,Acquired by Teva Pharmaceutical Industries (TEVA).[237],True
TEL,1976-07-01,2009-06-25,pre-changelog,False
TER,2020-09-21,,Market capitalization change.[75],True
TER,1976-07-01,2013-12-23,pre-changelog,False
TFC,1976-07-01,,pre-changelog,False
TFX,2019-01-18,2025-03-24,PCG filed for bankruptcy[101],True
TGNA,1976-07-01,2017-06-02,pre-changelog,False
TGT,1976-07-01,,pre-changelog,False
THC,1976-07-01,2016-04-18,pre-changelog,False
TIE,1976-07-01,2012-12-21,pre-changelog,False
TIF,1976-07-01,2021-01-07,pre-changelog,False
TJX,1976-07-01,,pre-changelog,False
TKO,2025-03-24,,Market capitalization change.[25],True
TLAB,1976-07-01,2011-12-20,pre-changelog,False
TMC,1976-07-01,2000-06-12,pre-changelog,False
TMO,1976-07-01,,pre-changelog,False
TMUS,2019-07-15,,S&P 500 & 100 constituent IBM acquired Red Hat.[92],True
TPL,2024-11-26,,S&P 500 & 100 constituent ConocoPhillips acquired Marathon Oil.[28],True
TPR,1976-07-01,,pre-changelog,False
TRB,1976-07-01,2007-12-20,pre-changelog,False
TRGP,2022-10-12,,Elliot Management Corp acquired Nielsen Holdings.[51],True
TRIP,2011-12-20,2019-12-23,Expedia spun off TripAdvisor.[232],True
TRMB,2021-01-21,,S&P 500/100 constituent ConocoPhillips acquired Concho Resources.[70],True
TROW,1976-07-01,,pre-changelog,False
TRV,1976-07-01,,pre-changelog,False
TSCO,2014-01-24,,Life Technologies acquired by Thermo Fisher Scientific Inc[199],True
TSG,1976-07-01,2007-03-30,pre-changelog,False
TSLA,2020-12-21,,Apartment Investment and Management (Aimco) spun off Apartment Income REIT.[72],True
TSN,1976-07-01,,pre-changelog,False
TSS,1976-07-01,2019-09-23,pre-changelog,False
TT,1976-07-01,,pre-changelog,False
TTD,2025-07-18,,S&P 500 constituent Synopsys Inc. acquired Ansys.[22],True
TTWO,2018-03-19,,Market capitalization change.[118],True
TWC,1976-07-01,2016-05-18,pre-changelog,False
TWTR,2018-06-07,2022-11-01,Bayer acquired Monsanto.[114],True
TWX,1976-07-01,2018-06-20,pre-changelog,False
TXN,1976-07-01,,pre-changelog,False
TXT,1976-07-01,,pre-changelog,False
TYC,2010-08-26,2016-09-06,Acquired by Schlumberger (SLB)[250],True
TYL,2020-06-22,,Market capitalization change.[76],True
UA,2016-04-08,2022-06-21,Under Armour distribution of second class of stock,True
UAA,1976-07-01,2022-06-21,pre-changelog,False
UAL,2015-09-02,,Hospira taken over[171],True
UBER,2023-12-18,,Market capitalization change.[37],True
UDR,2016-03-07,,JAB Holding Company acquired Keurig Green Mountain[157],True
UHS,2014-09-20,,Market cap changes,True
ULTA,2016-04-18,,Ulta replaces Tenet[154],True
UNH,1976-07-01,,pre-changelog,False
UNM,1976-07-01,2021-09-20,pre-changelog,False
UNP,1976-07-01,,pre-changelog,False
UPS,1976-07-01,,pre-changelog,False
URBN,1976-07-01,2017-03-20,pre-changelog,False
URI,2014-09-20,,Market cap changes[188],True
USB,1976-07-01,,pre-changelog,False
USL,1976-07-01,1997-06-17,pre-changelog,False
V,2009-12-18,,Market capitalization change.[citation needed],True
VAR,1976-07-01,2021-04-20,pre-changelog,False
VEEV,2026-05-07,,S&P 500 constituent Devon Energy Corp. acquired Coterra Energy. [9][10],True
VFC,1976-07-01,2024-04-03,pre-changelog,False
VIAB,1976-07-01,2019-12-05,pre-changelog,False
VICI,2022-06-08,,S&P 500 constituent Oracle Corp. acquired Cerner.[54],True
VLO,1976-07-01,,pre-changelog,False
VLTO,2023-10-02,,S&P 500 and S&P 100 constituent Danaher Corporation spun off Veralto.[39],True
VMC,1976-07-01,,pre-changelog,False
VNO,1976-07-01,2023-01-05,pre-changelog,False
VNT,2020-10-09,2021-03-22,S&P 500 constituent Fortive spun off Vontier.[73],True
VRSK,2015-10-07,,Market capitalization change.[170],True
VRSN,1976-07-01,,pre-changelog,False
VRT,2026-03-23,,Market capitalization change.[12],True
VRTX,2013-09-20,,Market capitalization change.[205],True
VST,2024-05-08,,S&P 500 and S&P 100 constituent ExxonMobil acquired Pioneer Natural Resources.[32],True
VTR,2009-03-03,,Capitalization rebalance.,True
VTRS,1976-07-01,,pre-changelog,False
VZ,1976-07-01,,pre-changelog,False
WAB,2019-02-27,,WAB acquired GE transportation business[99],True
WAT,1976-07-01,,pre-changelog,False
WB,1976-07-01,2008-12-31,pre-changelog,False
WBA,1976-07-01,2025-08-28,pre-changelog,False
WBD,2022-04-11,,WarnerMedia and Discovery merge to create Warner Bros. Discovery.[55],True
WCG,2018-09-14,2020-01-28,XL acquired by Axa.[109],True
WDAY,2024-12-23,,Market capitalization change.[26],True
WDC,1976-07-01,,pre-changelog,False
WEC,1976-07-01,,pre-changelog,False
WELL,1976-07-01,,pre-changelog,False
WFC,1976-07-01,,pre-changelog,False
WFM,1976-07-01,2017-08-29,pre-changelog,False
WFR,1976-07-01,2011-12-16,pre-changelog,False
WHR,1976-07-01,2024-03-18,pre-changelog,False
WIN,1976-07-01,2015-04-07,pre-changelog,False
WLTW,2016-01-05,2022-01-10,WSH merges with TW (and renames to WLTW)[163],True
WM,1976-07-01,,pre-changelog,False
WMB,1976-07-01,,pre-changelog,False
WMT,1976-07-01,,pre-changelog,False
WPX,2011-12-31,2014-03-21,Market capitalization changes[231],True
WRB,2019-12-05,,CBS acquired Viacom to form ViacomCBS.[86],True
WSM,2025-03-24,,Market capitalization change.[25],True
WST,2020-05-22,,Market capitalization change.[77],True
WTW,2022-01-10,,Willis Towers Watson changed its ticker symbol from WLTW to WTW.[61],True
WU,1976-07-01,2021-12-20,pre-changelog,False
WY,1976-07-01,,pre-changelog,False
WYN,1976-07-01,2018-05-31,pre-changelog,False
WYNN,1976-07-01,,pre-changelog,False
X,1976-07-01,2014-07-02,pre-changelog,False
XEC,2014-06-20,2020-03-02,Market capitalization changes[193],True
XEL,1976-07-01,,pre-changelog,False
XL,1976-07-01,2018-09-14,pre-changelog,False
XLNX,1976-07-01,2022-02-15,pre-changelog,False
XOM,1976-07-01,,pre-changelog,False
XRAY,1976-07-01,2024-04-03,pre-changelog,False
XRX,1976-07-01,2021-03-22,pre-changelog,False
XTO,1976-07-01,2010-06-28,pre-changelog,False
XYL,2011-10-31,,Spun off from ITT Corp.[236],True
XYZ,2025-07-23,,S&P 500 and S&P 100 constituent Chevron Corp. acquired Hess Corporation[21],True
YHOO,1999-12-08,2017-06-19,Market capitalization change.[279],True
YUM,1976-07-01,,pre-changelog,False
ZBH,1976-07-01,,pre-changelog,False
ZBRA,2019-12-23,,Market capitalization change.[84],True
ZION,1976-07-01,2024-03-18,pre-changelog,False
ZTS,2013-06-21,,Zoetis spun off by Pfizer[209],True
